forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.050,610949.8099999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.100,1549.4114
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.100,102562.033
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.100,611269.2599999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.150,1665.4764499999999
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.150,611736.6999999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.200,1834.04061
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.200,612202.6999999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.250,1940.4071299999998
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.250,141739.664
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.250,612339.7999999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.300,2051.08948
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.300,612488.9599999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.350,2161.67737
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.350,612691.2499999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.400,2306.07613
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.400,612806.8599999999
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.450,2427.70692
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.450,612941.3599999999
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.500,2577.3156899999994
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.500,205327.442
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.500,613068.2499999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.550,2734.59907
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.550,613235.8599999999
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.600,2874.87475
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.600,613421.4499999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.650,3026.7201700000005
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.650,613645.8499999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.700,3247.7633200000005
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.700,613883.1399999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.750,3414.2365700000005
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.750,300560.081
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.750,614226.7999999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.800,3585.19446
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.800,614565.5599999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.850,3896.8335800000004
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.850,614962.9999999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.900,4336.93898
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.900,407547.149
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.900,615202.3799999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.950,4857.141
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.950,615971.3999999997
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.975,5721.7743900000005
2021-07-18,2 wk ahead inc case,2021-07-31,US,quantile,0.975,642444.331
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.975,617277.2999999998
2021-07-18,2 wk ahead inc death,2021-07-31,US,quantile,0.990,6111.372469999999
2021-07-18,2 wk ahead cum death,2021-07-31,US,quantile,0.990,618171.3499999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,point,NA,3226.43998
2021-07-18,3 wk ahead inc case,2021-08-07,US,point,NA,274565.314
2021-07-18,3 wk ahead cum death,2021-08-07,US,point,NA,616302.2499999998
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.010,1278.2900599999998
2021-07-18,3 wk ahead cum death,2021-08-07,US,quantile,0.010,612357.6399999997
2021-07-18,3 wk ahead inc death,2021-08-07,US,quantile,0.025,1396.65312
